,All recorded offences,,,,,Violence Against the Person,,,,,Sexual Offences,,,,,Robbery,,,,,Burglary,,,,,Theft and Handling,,,,,Fraud or Forgery,,,,,Criminal Damage,,,,,Drugs,,,,,Other Notifiable Offences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borough,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambeth,"34,912","32,923","33,025","34,998","29,787","6,827","7,343","9,568","10,670","8,990",490,557,758,873,220,"2,622","2,256","1,308","1,177",98,"3,751","3,797","2,833","2,658","2,634","15,292","13,893","12,630","13,361","11,272",953,51,42,58,36,"2,443","2,429","2,636","2,712","2,361","2,114","2,115","2,645","2,829","2,129",420,482,605,660,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewisham,"24,727","22,327","22,109","24,712","20,654","5,765","6,324","7,398","8,696","7,434",418,474,597,630,733,"1,334","1,170",780,819,"1,062","3,382","3,029","2,186","2,142","1,703","8,760","7,164","7,122","7,690","6,538",807,34,34,41,33,"2,320","2,117","2,278","2,426","2,031","1,596","1,660","1,296","1,802","1,168",345,355,418,466,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merton,"13,376","11,596","12,164","12,933","10,973","2,541","2,534","3,251","4,110","3,413",180,231,206,309,580,544,370,299,253,740,"1,996","1,709","1,740","1,403","1,164","5,445","4,783","4,542","4,717","4,170",446,21,10,23,16,"1,268","1,179","1,347","1,435","1,150",793,609,585,471,370,163,160,184,212,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newham,"31,716","28,950","28,986","30,084","26,306","6,458","6,713","8,207","9,800","8,110",390,538,640,826,240,"2,260","2,166","1,484","1,349",243,"3,026","2,950","2,238","2,253","1,728","13,452","12,283","11,770","11,059","10,482","1,536",44,40,39,43,"2,280","2,133","2,232","2,512","2,068","1,849","1,652","1,789","1,620","1,417",465,471,586,626,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redbridge,"22,419","20,044","20,128","19,637","16,963","4,124","4,557","5,845","6,206","5,340",254,340,485,526,609,"1,003",884,704,637,"1,291","3,339","2,891","2,535","1,999","1,834","9,028","7,734","6,979","6,923","6,319",911,21,31,32,23,"1,591","1,486","1,652","1,663","1,392","1,897","1,783","1,483","1,245",780,272,348,414,406,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond upon Thames,"11,803","10,518","10,788","10,729","9,780","2,052","1,939","2,554","3,001","2,672",154,139,211,248,424,207,191,143,138,513,"2,161","1,820","1,671","1,321","1,211","4,920","4,487","4,502","4,285","4,095",364,26,15,22,15,"1,194","1,100","1,065","1,107",998,592,668,433,364,291,159,148,194,243,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwark,"32,747","31,195","30,130","31,422","27,529","6,502","6,401","8,342","9,127","7,919",425,494,645,673,252,"2,583","2,058","1,254","1,221",87,"3,211","3,428","2,783","2,952","2,562","13,774","13,156","11,272","12,231","10,952",983,43,39,41,29,"2,354","2,408","2,454","2,584","2,299","2,413","2,755","2,805","2,118","1,489",502,452,536,475,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutton,"11,188","10,401","10,974","10,949","9,102","2,569","2,547","3,347","3,817","3,132",209,220,288,275,646,297,251,178,156,"1,219","1,518","1,431","1,428","1,247",998,"4,385","4,047","3,758","3,433","2,934",265,8,4,12,5,"1,257","1,259","1,346","1,318","1,065",511,502,470,491,373,177,136,155,200,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Hamlets,"29,082","27,139","27,348","28,752","26,005","6,115","6,645","8,051","9,178","8,276",386,430,564,594,246,"1,438","1,250","1,159","1,143",145,"2,805","2,621","2,411","2,564","2,461","11,154","10,576","9,991","10,345","9,770",942,21,22,33,25,"2,190","2,126","2,383","2,367","2,044","3,251","2,970","2,193","1,885","1,173",801,500,574,643,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waltham Forest,"24,478","22,097","20,782","21,799","17,899","4,982","5,414","6,462","7,217","6,143",271,401,437,481,600,"1,270",870,737,592,"1,065","2,927","2,741","2,272","2,179","1,617","10,323","8,948","7,265","7,388","6,399",966,20,31,35,43,"1,917","1,786","1,761","2,059","1,635","1,509","1,560","1,447","1,404",754,313,357,370,444,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wandsworth,"25,445","22,241","22,583","23,292","20,809","4,115","4,243","5,958","7,079","5,815",331,377,460,600,424,"1,255",909,495,521,524,"3,368","3,019","2,619","2,377","1,932","12,055","10,565","9,866","9,617","9,322",926,28,23,31,28,"1,907","1,735","1,856","1,829","1,582","1,182","1,024",865,744,718,306,341,441,494,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westminster,"62,014","54,054","48,279","49,204","42,414","7,036","7,322","9,006","10,251","9,658",486,595,844,819,558,"2,475","2,357","1,755","1,598",496,"4,007","3,963","3,294","3,193","2,652","38,401","32,441","27,721","28,247","23,380","2,063",83,75,68,93,"2,177","2,137","2,039","2,105","1,862","4,634","4,244","2,682","2,146","1,788",735,912,863,777,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heathrow,"2,698","2,484","3,128","3,077","2,795",287,282,436,292,269,29,20,19,26,784,4,2,5,2,"1,553",4,16,12,17,11,"1,815","1,661","1,638","1,500","1,262",105,45,29,26,22,67,74,81,70,57,84,77,66,83,66,303,307,842,"1,061","1,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner London,"395,150","357,143","355,735","374,203","325,810","70,609","72,344","92,869","106,982","93,353","4,754","5,453","7,179","8,046","5,581","19,810","17,012","12,984","12,773","7,056","37,971","37,487","31,929","31,567","26,255","189,947","168,639","155,338","158,306","140,205","13,420",473,465,478,469,"25,459","23,967","26,236","27,151","23,094","27,517","26,060","22,230","22,032","17,221","5,663","5,708","6,505","6,868","6,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outer London,"373,718","341,178","350,446","363,364","314,694","78,820","81,324","104,153","119,344","104,389","5,058","5,890","7,640","8,165","8,274","14,926","11,240","8,921","8,796","11,053","54,709","47,772","41,703","38,124","30,814","142,007","131,295","124,818","125,620","112,295","13,648",460,462,566,464,"34,398","32,643","34,600","36,419","31,112","24,785","24,923","21,578","18,912","13,881","5,367","5,631","6,571","7,418","6,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Met Police Area,"771,566","700,805","709,309","740,644","643,299","149,716","153,950","197,458","226,618","198,011","9,841","11,363","14,838","16,237","14,639","34,740","28,254","21,910","21,571","19,662","92,684","85,275","73,644","69,708","57,080","333,769","301,595","281,794","285,426","253,762","27,173",978,956,"1,070",955,"59,924","56,684","60,917","63,640","54,263","52,386","51,060","43,874","41,027","31,168","11,333","11,646","13,918","15,347","13,759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England and Wales,"3,731,338",n/a,n/a,n/a,n/a,"601,134",n/a,n/a,n/a,n/a,"53,540",n/a,n/a,n/a,n/a,"65,156",n/a,n/a,n/a,n/a,"459,796",n/a,n/a,n/a,n/a,"1,390,360",n/a,n/a,n/a,n/a,"229,018",n/a,n/a,n/a,n/a,"529,719",n/a,n/a,n/a,n/a,"208,017",n/a,n/a,n/a,n/a,"194,598",n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
